COUNTRY,happiness,drug
Afghanistan,4.7,3.6
Albania,4.6,2.45
Algeria,5.2,5.32
Angola,4,2.45
Argentina,7.5,10.56
Armenia,4.9,4
Australia,7.7,15.6
Austria,7.9,5.33
Azerbaijan,5.4,3.77
Belarus,4.2,1.48
Belgium,7.3,6.8
Belize,6.9,10.8
Bermuda,4.3,0
Bolivia,5.9,5.9
Bosnia,5.3,3.3
Botswana,5.3,0
Brazil,7.4,4.5
Bulgaria,4.4,3.68
Burkina Faso,5.1,2.9
Burundi,5,0
Cambodia,4.4,4.11
Cameroon,4.6,0
Canada,7.6,20.51
Central African Rep,5.1,0.05
Chad,4.2,0.22
Chile,6.8,9.8
China,6.3,0.19
Colombia,8.1,3.3
"Congo, DRC",4.9,0.17
"Congo, Rep",4.9,0.13
Costa Rica,7.3,2.7
Croatia,6.1,6.96
Cyprus,7.3,3.19
Czech Rep.,6.4,10.33
Denmark,8.4,7.5
Djibouti,5.6,0
Dominican Rep,5.7,4.04
El Salvador,7.2,4.04
England & Wales,7.1,10.63
Estonia,5.9,7.39
Ethiopia,4.3,2.6
Finland,7.8,4.93
France,6.5,9.82
Ghana,5.7,22.74
Greece,6.4,2.28
Guatemala,7,5.94
Guinea,5,0
Guyana,6.4,2.85
Haiti,4.5,6.39
Honduras,6.5,3.35
Hong Kong,6,0.3
Hungary,5.5,3.38
Iceland,8.5,5.1
India,5.9,3.63
Indonesia,6.6,1.26
Iran,6,4.51
Iraq,4.3,1.5
Ireland,7.5,8.9
Israel,6.7,9.5
Italy,6.8,18.19
Jamaica,6.6,11.9
Japan,6.4,0
Jordan,6,3.1
Kazakhstan,6,5.2
Kenya,5.2,4.86
Kuwait,6.7,3.67
Kyrgyzstan,6.1,7.2
Lao,5.7,2.17
Latvia,5.1,7.1
Lebanon,5.6,7.07
Liberia,4.8,0.17
Lithuania,4.9,2.9
Luxembourg,7.7,9.83
"Macedonia, FYR",4.6,0.6
Madagascar,4.7,9.1
Malawi,4.8,0
Malaysia,6.5,3.31
Mali,5.7,0
Malta,7,6.64
Mauritania,5.7,0
Mexico,8,4.4
Moldova,4.9,0.3
Mongolia,5.2,0
Montenegro,5.2,0
Morocco,5.2,4.42
Mozambique,5.2,0
Namibia,5.5,4.2
Nepal,5.2,3.53
Netherlands,7.5,6.61
New Zealand,7.3,16.82
Nicaragua,5.4,2.4
Niger,4.5,0.2
Nigeria,6.5,15.97
Norway,7.7,6.83
Pakistan,4.3,3.99
Palestinian,5.4,0.7
Panama,6.6,5.8
Paraguay,5.5,2.43
Peru,6.4,1.38
Philippines,6.3,2.75
Poland,6.4,3.69
Portugal,5.7,4.83
Romania,5.5,1.21
Russian Fed,5.4,5.54
Rwanda,4.4,0.14
Saudi Arabia,7,0.7
Senegal,5.5,0.08
Serbia,5.6,0
Sierra Leone,4.6,0.17
Singapore,6.8,0.01
South Africa,6,5.55
Spain,7.2,14.2
Sri Lanka,5,0.11
Sudan,5.3,0
Sweden,7.7,2.97
Switzerland,8.1,10.41
Taiwan,6.2,0.3
Tajikistan,5.4,3.94
"Tanzania,",3.2,0.02
Thailand,6.9,2.9
Togo,4.1,2.7
Trinidad & Tobago,7,4.59
Tunisia,5.9,0.09
Turkey,5.5,2.25
UAE,7.1,0.02
Uganda,5.1,0.06
Ukraine,4.8,3.8
Uruguay,6.1,7.78
USA,7,17.28
Uzbekistan,6.1,5
Venezuela,7.2,8.73
Vietnam,6.5,0.75
Yemen,5.2,0
Zambia,5.6,18.37
Zimbabwe,3.3,7.14
